userId,movieId,rating,timestamp
4,16,2.0,2.0
4,17,2.0,2.0
4,18,1.0,1.0
4,21,4.0,4.0
4,22,3.0,3.0
4,35,4.0,4.0
4,66,4.0,4.0
4,71,2.0,2.0
4,78,1.0,1.0
4,1,2.0,2.0
4,50,4.0,4.0
4,69,5.0,5.0
4,23,3.0,3.0
4,34,1.0,1.0
4,72,2.0,2.0
4,74,5.0,5.0
4,63,2.0,2.0
4,46,4.0,4.0
4,30,4.0,4.0
4,82,1.0,1.0
4,53,5.0,5.0
4,9,3.0,3.0
4,77,1.0,1.0
4,4,2.0,2.0
4,57,1.0,1.0
4,32,1.0,1.0
4,13,2.0,2.0
4,29,3.0,3.0
4,12,5.0,5.0
4,83,2.0,2.0
4,56,2.0,2.0
4,49,1.0,1.0
4,90,4.0,4.0
4,86,4.0,4.0
4,41,1.0,1.0
4,62,4.0,4.0
4,36,2.0,2.0
4,70,1.0,1.0
4,94,1.0,1.0
4,3,3.0,3.0
4,88,5.0,5.0
5,66,4.0,4.0
5,2,1.0,1.0
5,7,2.0,2.0
5,35,2.0,2.0
5,14,5.0,5.0
5,71,1.0,1.0
5,18,2.0,2.0
5,72,1.0,1.0
5,75,5.0,5.0
5,3,4.0,4.0
5,19,4.0,4.0
5,1,3.0,3.0
5,11,5.0,5.0
5,0,5.0,5.0
5,5,2.0,2.0
5,84,4.0,4.0
5,86,1.0,1.0
5,37,4.0,4.0
5,10,2.0,2.0
5,16,3.0,3.0
5,60,2.0,2.0
5,89,5.0,5.0
5,93,3.0,3.0
5,74,5.0,5.0
5,29,3.0,3.0
5,8,4.0,4.0
5,12,3.0,3.0
5,58,5.0,5.0
5,64,1.0,1.0
5,76,2.0,2.0
5,73,3.0,3.0
5,61,1.0,1.0
5,79,1.0,1.0
5,85,3.0,3.0
5,68,4.0,4.0
6,29,2.0,2.0
6,11,5.0,5.0
6,2,2.0,2.0
6,4,1.0,1.0
6,83,1.0,1.0
6,7,3.0,3.0
6,85,4.0,4.0
6,9,3.0,3.0
6,86,1.0,1.0
6,89,4.0,4.0
6,14,4.0,4.0
6,17,3.0,3.0
6,93,3.0,3.0
6,94,1.0,1.0
6,18,2.0,2.0
6,21,3.0,3.0
6,23,4.0,4.0
6,32,2.0,2.0
6,35,4.0,4.0
6,41,3.0,3.0
6,47,2.0,2.0
6,49,2.0,2.0
6,52,4.0,4.0
6,82,1.0,1.0
6,39,1.0,1.0
6,16,2.0,2.0
6,78,1.0,1.0
6,30,5.0,5.0
6,50,4.0,4.0
6,53,5.0,5.0
6,91,5.0,5.0
6,25,2.0,2.0
6,80,1.0,1.0
6,22,5.0,5.0
6,27,4.0,4.0
6,34,3.0,3.0
6,48,2.0,2.0
6,70,2.0,2.0
6,72,3.0,3.0
6,71,1.0,1.0
6,46,5.0,5.0
6,66,3.0,3.0
6,67,4.0,4.0
6,13,2.0,2.0
6,57,1.0,1.0
6,69,5.0,5.0
6,74,5.0,5.0
6,79,5.0,5.0
6,81,5.0,5.0
6,26,1.0,1.0
6,6,5.0,5.0
6,38,3.0,3.0
6,45,3.0,3.0
6,62,4.0,4.0
6,75,5.0,5.0
6,87,1.0,1.0
6,37,3.0,3.0
6,90,4.0,4.0
6,56,1.0,1.0
6,88,4.0,4.0
6,54,2.0,2.0
6,28,2.0,2.0
7,29,2.0,2.0
7,0,5.0,5.0
7,1,4.0,4.0
7,3,4.0,4.0
7,5,4.0,4.0
7,7,3.0,3.0
7,35,2.0,2.0
7,86,1.0,1.0
7,37,4.0,4.0
7,11,5.0,5.0
7,10,2.0,2.0
7,2,2.0,2.0
7,61,1.0,1.0
7,72,1.0,1.0
7,19,4.0,4.0
7,79,3.0,3.0
7,14,2.0,2.0
7,18,1.0,1.0
7,16,3.0,3.0
7,95,1.0,1.0
7,76,2.0,2.0
7,64,1.0,1.0
7,84,3.0,3.0
7,8,5.0,5.0
7,55,5.0,5.0
7,67,2.0,2.0
7,73,3.0,3.0
7,60,3.0,3.0
7,58,4.0,4.0
7,68,2.0,2.0
7,15,5.0,5.0
7,12,3.0,3.0
7,43,1.0,1.0
7,66,5.0,5.0
7,51,1.0,1.0
7,20,5.0,5.0
7,78,3.0,3.0
7,74,4.0,4.0
8,50,3.0,3.0
8,2,2.0,2.0
8,6,5.0,5.0
8,11,5.0,5.0
8,18,1.0,1.0
8,22,4.0,4.0
8,23,5.0,5.0
8,27,2.0,2.0
8,66,4.0,4.0
8,4,1.0,1.0
8,35,4.0,4.0
8,37,4.0,4.0
8,39,3.0,3.0
8,14,3.0,3.0
8,91,5.0,5.0
8,71,1.0,1.0
8,44,5.0,5.0
8,75,5.0,5.0
8,0,2.0,2.0
8,7,4.0,4.0
8,90,4.0,4.0
8,19,5.0,5.0
8,80,1.0,1.0
8,83,3.0,3.0
8,85,4.0,4.0
8,9,4.0,4.0
8,13,2.0,2.0
8,16,2.0,2.0
8,17,3.0,3.0
8,94,2.0,2.0
8,21,5.0,5.0
8,26,1.0,1.0
8,32,2.0,2.0
8,34,2.0,2.0
8,48,1.0,1.0
8,49,2.0,2.0
8,62,4.0,4.0
8,54,2.0,2.0
8,70,1.0,1.0
8,45,3.0,3.0
8,25,4.0,4.0
8,53,5.0,5.0
8,88,5.0,5.0
8,57,1.0,1.0
8,59,1.0,1.0
8,12,2.0,2.0
8,89,3.0,3.0
8,93,1.0,1.0
8,69,4.0,4.0
8,5,1.0,1.0
8,72,3.0,3.0
8,30,5.0,5.0
8,38,3.0,3.0
8,74,5.0,5.0
8,63,3.0,3.0
8,82,1.0,1.0
8,41,2.0,2.0
8,77,4.0,4.0
8,78,1.0,1.0
8,86,2.0,2.0
8,81,5.0,5.0
8,52,3.0,3.0
8,46,4.0,4.0
8,42,5.0,5.0
8,79,4.0,4.0
8,29,4.0,4.0
8,56,3.0,3.0
8,28,3.0,3.0
8,67,5.0,5.0
8,36,2.0,2.0
8,92,1.0,1.0
8,47,2.0,2.0
8,1,3.0,3.0
8,3,3.0,3.0
8,33,1.0,1.0
9,30,5.0,5.0
9,2,2.0,2.0
9,32,1.0,1.0
9,53,5.0,5.0
9,88,3.0,3.0
9,90,3.0,3.0
9,18,1.0,1.0
9,66,3.0,3.0
9,67,4.0,4.0
9,52,4.0,4.0
9,35,4.0,4.0
9,9,4.0,4.0
9,11,5.0,5.0
9,13,2.0,2.0
9,41,1.0,1.0
9,89,5.0,5.0
9,23,3.0,3.0
9,77,3.0,3.0
9,85,4.0,4.0
9,4,1.0,1.0
9,34,1.0,1.0
9,70,1.0,1.0
9,14,5.0,5.0
9,21,3.0,3.0
9,27,3.0,3.0
9,3,3.0,3.0
9,74,5.0,5.0
9,93,4.0,4.0
9,75,5.0,5.0
9,1,2.0,2.0
9,72,2.0,2.0
9,83,2.0,2.0
9,69,5.0,5.0
9,71,2.0,2.0
9,57,1.0,1.0
9,50,4.0,4.0
9,54,1.0,1.0
9,91,5.0,5.0
9,16,2.0,2.0
9,78,1.0,1.0
9,46,4.0,4.0
9,86,3.0,3.0
9,94,3.0,3.0
9,62,4.0,4.0
9,49,2.0,2.0
